Designator,Value,Footprint,Description,Quantity
B20,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B1,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B2,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B3,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B4,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B5,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B21,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B22,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B23,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B24,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B25,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B6,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B7,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B8,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B9,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B10,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B11,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B12,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B13,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B14,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B15,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B16,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B17,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B18,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B19,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B26,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B27,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B28,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B29,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B30,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B31,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B32,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B33,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B34,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B35,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B36,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
B37,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
SOFT1,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
SOFT2,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
SOFT3,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
SOFT5,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
SOFT4,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
SOFT6,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SMD Tactile Switch for keys,1
J1,Sharp 2.7in Memory LCD,Manual install,LS027B7DH01 - 400x240 Memory LCD; connect through the existing J1 FPC connection and shim 0.07mm to 1.50mm above PCB,1
MCU1,Raspberry Pi Pico 2,ProMicro,SC1632 - non-wireless RP2350 Pico 2 board with Arm Cortex-M33 FPU,1
JST1,JST PH 2-pin side-entry header,JST_PH_S2B-PH-K_02x2.00mm_Angled,S2B-PH-K-S(LF)(SN) - 2.00mm pitch side-entry battery connector for wired CR2450 holder,1
