Designator,Value,Footprint
B9,,SW_TACT_ALPS_SKQGABE010
B10,,SW_TACT_ALPS_SKQGABE010
B14,,SW_TACT_ALPS_SKQGABE010
B15,,SW_TACT_ALPS_SKQGABE010
B16,,SW_TACT_ALPS_SKQGABE010
B17,,SW_TACT_ALPS_SKQGABE010
B18,,SW_TACT_ALPS_SKQGABE010
B19,,SW_TACT_ALPS_SKQGABE010
B6,,SW_TACT_ALPS_SKQGABE010
B20,,SW_TACT_ALPS_SKQGABE010
B25,,SW_TACT_ALPS_SKQGABE010
B1,,SW_TACT_ALPS_SKQGABE010
B2,,SW_TACT_ALPS_SKQGABE010
B3,,SW_TACT_ALPS_SKQGABE010
B4,,SW_TACT_ALPS_SKQGABE010
B5,,SW_TACT_ALPS_SKQGABE010
B7,,SW_TACT_ALPS_SKQGABE010
B8,,SW_TACT_ALPS_SKQGABE010
B28,,SW_TACT_ALPS_SKQGABE010
B26,,SW_TACT_ALPS_SKQGABE010
B27,,SW_TACT_ALPS_SKQGABE010
B29,,SW_TACT_ALPS_SKQGABE010
B30,,SW_TACT_ALPS_SKQGABE010
B31,,SW_TACT_ALPS_SKQGABE010
B12,,SW_TACT_ALPS_SKQGABE010
B13,,SW_TACT_ALPS_SKQGABE010
B32,,SW_TACT_ALPS_SKQGABE010
B33,,SW_TACT_ALPS_SKQGABE010
B34,,SW_TACT_ALPS_SKQGABE010
B35,,SW_TACT_ALPS_SKQGABE010
B36,,SW_TACT_ALPS_SKQGABE010
B37,,SW_TACT_ALPS_SKQGABE010
B21,,SW_TACT_ALPS_SKQGABE010
B22,,SW_TACT_ALPS_SKQGABE010
B23,,SW_TACT_ALPS_SKQGABE010
B24,,SW_TACT_ALPS_SKQGABE010
B11,,SW_TACT_ALPS_SKQGABE010
Disp,E-Ink,Unknown
SOFT4,,SW_TACT_ALPS_SKQGABE010
SOFT5,,SW_TACT_ALPS_SKQGABE010
MCU1,,ProMicro
SOFT2,,SW_TACT_ALPS_SKQGABE010
SOFT3,,SW_TACT_ALPS_SKQGABE010
SOFT6,,SW_TACT_ALPS_SKQGABE010
SOFT1,,SW_TACT_ALPS_SKQGABE010
JST1,,JST_PH_S2B-PH-K_02x2.00mm_Angled
