Designator,Value,Footprint,Part Number / SKU,Description,Quantity
B32,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SKQGABE010,SMD Tactile Switch for keys. **CRITICAL PCBA NOTE:** Z-height must be exactly 1.5mm off PCB surface.,1
B33,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SKQGABE010,SMD Tactile Switch for keys. **CRITICAL PCBA NOTE:** Z-height must be exactly 1.5mm off PCB surface.,1
B29,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SKQGABE010,SMD Tactile Switch for keys. **CRITICAL PCBA NOTE:** Z-height must be exactly 1.5mm off PCB surface.,1
B34,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SKQGABE010,SMD Tactile Switch for keys. **CRITICAL PCBA NOTE:** Z-height must be exactly 1.5mm off PCB surface.,1
B37,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SKQGABE010,SMD Tactile Switch for keys. **CRITICAL PCBA NOTE:** Z-height must be exactly 1.5mm off PCB surface.,1
B9,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SKQGABE010,SMD Tactile Switch for keys. **CRITICAL PCBA NOTE:** Z-height must be exactly 1.5mm off PCB surface.,1
B16,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SKQGABE010,SMD Tactile Switch for keys. **CRITICAL PCBA NOTE:** Z-height must be exactly 1.5mm off PCB surface.,1
B21,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SKQGABE010,SMD Tactile Switch for keys. **CRITICAL PCBA NOTE:** Z-height must be exactly 1.5mm off PCB surface.,1
B2,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SKQGABE010,SMD Tactile Switch for keys. **CRITICAL PCBA NOTE:** Z-height must be exactly 1.5mm off PCB surface.,1
B24,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SKQGABE010,SMD Tactile Switch for keys. **CRITICAL PCBA NOTE:** Z-height must be exactly 1.5mm off PCB surface.,1
B1,ALPS SKQGABE010,SW_TACT_ALPS_SKQGABE010,SKQGABE010,SMD Tactile Switch for keys. **CRITICAL PCBA NOTE:** Z-height must be exactly 1.5mm off PCB surface.,1
