Ref,Val,Package,PosX,PosY,Rot,Side,Notes
B32,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,60.059523,-14.199999,0.000000,top,
B33,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,60.059523,-2.899999,0.000000,top,
B29,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,46.369047,-2.899999,0.000000,top,
B34,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,73.750000,-36.800000,0.000000,top,
B37,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,73.750000,-2.899999,0.000000,top,
B9,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,50.750000,-48.099999,0.000000,top,
B16,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,73.750000,-59.400000,0.000000,top,
B21,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,16.250000,-2.899999,0.000000,top,
B2,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,16.250000,-59.400000,0.000000,top,
B24,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,32.678571,-14.199999,0.000000,top,
B1,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,22.000000,-48.099999,0.000000,top,
B36,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,73.750000,-14.199999,0.000000,top,
B22,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,32.678571,-36.800000,0.000000,top,
B28,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,46.369047,-14.199999,0.000000,top,
B8,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,39.250000,-70.700000,0.000000,top,
B14,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,62.250000,-70.700000,0.000000,top,
B17,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,73.750000,-70.700000,0.000000,top,
B4,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,27.750000,-59.400000,0.000000,top,
B3,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,16.250000,-70.700000,0.000000,top,
B11,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,50.750000,-70.700000,0.000000,top,
B20,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,16.250000,-14.199999,0.000000,top,
B7,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,39.250000,-59.400000,0.000000,top,
B25,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,32.678571,-2.899999,0.000000,top,
B12,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,62.250000,-48.099999,0.000000,top,
B27,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,46.369047,-25.500000,0.000000,top,
B31,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,60.059523,-25.500000,0.000000,top,
B10,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,50.750000,-59.400000,0.000000,top,
B30,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,60.059523,-36.800000,0.000000,top,
B19,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,16.250000,-25.500000,0.000000,top,
B26,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,46.369047,-36.800000,0.000000,top,
B18,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,16.250000,-36.800000,0.000000,top,
B23,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,32.678571,-25.500000,0.000000,top,
B5,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,27.750000,-70.700000,0.000000,top,
B15,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,73.750000,-48.099999,0.000000,top,
B13,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,62.250000,-59.400000,0.000000,top,
B35,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,73.750000,-25.500000,0.000000,top,
B6,Tactile Switch 6x6mm,SW_TACT_ALPS_SKQGABE010,39.250000,-48.099999,0.000000,top,
SOFT2,,SW_TACT_ALPS_SKQGABE010,27.750000,-82.000000,0.000000,top,
SOFT6,,SW_TACT_ALPS_SKQGABE010,73.750000,-82.000000,0.000000,top,
SOFT4,,SW_TACT_ALPS_SKQGABE010,50.750000,-82.000000,0.000000,top,
SOFT3,,SW_TACT_ALPS_SKQGABE010,39.250000,-82.000000,0.000000,top,
SOFT1,,SW_TACT_ALPS_SKQGABE010,16.250000,-82.000000,0.000000,top,
SOFT5,,SW_TACT_ALPS_SKQGABE010,62.250000,-82.000000,0.000000,top,
C1,,Unknown,36.250000,-93.000000,180.000000,bottom,
JST1,JST-PH 2.0 2-Pin,JST_PH_S2B-PH-K_02x2.00mm_Angled,36.000000,-128.000000,180.000000,bottom,
C8,,Unknown,53.750000,-93.000000,180.000000,bottom,
C7,,Unknown,51.250000,-93.000000,180.000000,bottom,
C6,,Unknown,48.750000,-93.000000,180.000000,bottom,
C2,,Unknown,38.750000,-93.000000,180.000000,bottom,
MCU1,,Unknown,21.500000,-102.500000,0.000000,bottom,
C5,,Unknown,46.250000,-93.000000,180.000000,bottom,
C4,,Unknown,43.750000,-93.000000,180.000000,bottom,
C3,,Unknown,41.250000,-93.000000,180.000000,bottom,
J1,,Unknown,45.000000,-98.000000,0.000000,bottom,CRITICAL: LCD connected to J1 must be shimmed exactly 0.07mm to reach 1.5mm coplanarity with tactile switches.
